iter	Passed	Remaining
0	147	146956
1	148	73920
2	149	49550
3	150	37359
4	151	30049
5	151	25172
6	152	21691
7	153	19077
8	154	17044
9	155	15415
10	156	14088
11	157	12980
12	158	12040
13	159	11237
14	160	10540
15	161	9928
16	162	9389
17	163	8911
18	164	8478
19	165	8086
20	165	7733
21	166	7416
22	167	7125
23	168	6858
24	169	6611
25	170	6388
26	171	6178
27	172	5982
28	173	5800
29	174	5631
30	175	5473
31	176	5325
32	177	5187
33	177	5056
34	178	4932
35	179	4814
36	180	4703
37	181	4599
38	182	4498
39	183	4403
40	184	4311
41	185	4226
42	186	4144
43	187	4066
44	188	3991
45	189	3920
46	189	3851
47	190	3785
48	191	3723
49	192	3662
50	193	3603
51	194	3547
52	195	3492
53	196	3441
54	197	3391
55	198	3342
56	199	3296
57	200	3251
58	201	3207
59	202	3164
60	202	3123
61	203	3084
62	204	3045
63	205	3008
64	206	2972
65	207	2937
66	208	2903
67	208	2863
68	209	2831
69	210	2800
70	211	2770
71	212	2740
72	213	2711
73	214	2682
74	215	2655
75	216	2628
76	217	2602
77	218	2577
78	218	2552
79	219	2528
80	220	2504
81	221	2481
82	222	2459
83	223	2437
84	224	2412
85	225	2391
86	225	2368
87	226	2349
88	227	2329
89	228	2310
90	229	2291
91	230	2273
92	231	2255
93	232	2238
94	233	2220
95	234	2203
96	234	2187
97	235	2170
98	236	2154
99	237	2139
100	238	2124
101	239	2105
102	240	2090
103	240	2075
104	241	2061
105	242	2047
106	243	2034
107	244	2020
108	245	2007
109	246	1993
110	247	1980
111	248	1968
112	249	1955
113	250	1943
114	250	1931
115	251	1918
116	252	1907
117	253	1895
118	254	1882
119	255	1871
120	256	1860
121	257	1849
122	257	1836
123	258	1825
124	259	1815
125	260	1804
126	261	1794
127	261	1782
128	262	1772
129	263	1762
130	264	1753
131	265	1745
132	266	1736
133	267	1728
134	268	1721
135	269	1712
136	270	1704
137	271	1694
138	272	1686
139	273	1678
140	274	1670
141	275	1662
142	276	1654
143	276	1646
144	277	1638
145	278	1630
146	279	1623
147	280	1615
148	281	1608
149	282	1601
150	283	1593
151	284	1586
152	285	1579
153	286	1572
154	287	1565
155	288	1558
156	289	1551
157	289	1545
158	290	1538
159	291	1532
160	292	1525
161	293	1518
162	294	1512
163	295	1507
164	296	1501
165	297	1495
166	298	1489
167	299	1484
168	300	1478
169	301	1472
170	302	1466
171	303	1460
172	304	1454
173	306	1453
174	307	1448
175	308	1443
176	309	1439
177	310	1434
178	311	1429
179	312	1424
180	313	1416
181	313	1411
182	314	1405
183	316	1403
184	318	1403
185	320	1401
186	321	1398
187	323	1395
188	324	1390
189	325	1385
190	326	1382
191	327	1377
192	328	1372
193	329	1368
194	330	1363
195	331	1359
196	332	1354
197	333	1349
198	334	1344
199	335	1340
200	336	1335
201	337	1331
202	337	1327
203	338	1322
204	339	1318
205	340	1313
206	341	1309
207	342	1304
208	343	1300
209	344	1296
210	345	1291
211	346	1287
212	347	1282
213	348	1278
214	349	1274
215	350	1270
216	350	1266
217	351	1262
218	352	1258
219	353	1254
220	354	1250
221	355	1245
222	356	1241
223	357	1237
224	358	1234
225	359	1230
226	360	1226
227	361	1222
228	362	1219
229	363	1215
230	364	1211
231	365	1208
232	366	1205
233	367	1203
234	368	1201
235	370	1198
236	371	1195
237	372	1191
238	373	1188
239	374	1184
240	374	1180
241	375	1177
242	376	1173
243	377	1170
244	378	1166
245	379	1163
246	380	1159
247	381	1156
248	382	1152
249	383	1149
250	384	1146
251	384	1142
252	385	1138
253	386	1135
254	387	1132
255	388	1128
256	389	1125
257	390	1122
258	391	1119
259	392	1116
260	393	1112
261	393	1109
262	394	1106
263	395	1103
264	396	1100
265	397	1097
266	398	1094
267	399	1091
268	400	1087
269	401	1084
270	402	1081
271	403	1078
272	403	1075
273	404	1072
274	405	1069
275	406	1066
276	407	1063
277	408	1060
278	409	1057
279	410	1054
280	411	1051
281	411	1048
282	412	1045
283	413	1042
284	414	1039
285	415	1036
286	416	1033
287	416	1030
288	417	1027
289	418	1025
290	419	1022
291	420	1020
292	421	1017
293	422	1014
294	423	1011
295	424	1008
296	425	1006
297	426	1003
298	426	1000
299	427	998
300	428	995
301	429	992
302	430	990
303	431	987
304	432	985
305	433	982
306	434	980
307	435	977
308	435	974
309	436	972
310	437	969
311	438	967
312	439	964
313	440	962
314	441	959
315	442	957
316	443	954
317	444	952
318	444	949
319	445	947
320	446	944
321	447	942
322	448	940
323	449	938
324	450	936
325	451	934
326	452	931
327	453	929
328	454	927
329	455	925
330	456	923
331	457	920
332	458	918
333	459	916
334	460	914
335	461	911
336	462	909
337	463	907
338	464	905
339	465	903
340	466	900
341	467	898
342	467	896
343	468	894
344	469	891
345	470	889
346	471	887
347	472	885
348	473	883
349	474	881
350	475	878
351	476	876
352	477	874
353	478	872
354	479	870
355	480	868
356	480	866
357	481	864
358	482	862
359	483	859
360	484	857
361	485	855
362	486	853
363	487	851
364	488	849
365	489	847
366	490	845
367	491	843
368	492	841
369	492	839
370	493	837
371	494	835
372	495	833
373	496	831
374	497	829
375	498	827
376	499	825
377	500	823
378	501	821
379	502	819
380	503	817
381	504	815
382	505	814
383	506	812
384	507	810
385	508	808
386	508	806
387	509	804
388	510	802
389	511	800
390	512	798
391	513	796
392	514	794
393	515	792
394	516	790
395	517	789
396	518	787
397	519	786
398	520	784
399	521	782
400	522	780
401	523	778
402	524	776
403	525	774
404	526	772
405	527	771
406	528	769
407	529	768
408	530	766
409	531	764
410	532	762
411	533	760
412	534	759
413	535	757
414	535	755
415	536	753
416	537	751
417	538	749
418	539	748
419	540	746
420	541	744
421	542	742
422	543	740
423	544	739
424	545	737
425	546	736
426	547	734
427	548	733
428	549	732
429	550	730
430	551	728
431	552	726
432	553	724
433	554	723
434	555	721
435	556	719
436	557	718
437	558	716
438	559	714
439	560	712
440	561	711
441	562	709
442	563	707
443	563	706
444	564	704
445	565	702
446	566	701
447	567	699
448	568	697
449	569	695
450	570	694
451	571	692
452	572	690
453	573	689
454	573	687
455	574	685
456	575	684
457	576	682
458	577	680
459	578	679
460	579	677
461	580	675
462	581	674
463	582	672
464	583	671
465	584	669
466	585	667
467	585	666
468	586	664
469	587	662
470	588	661
471	589	659
472	590	658
473	591	656
474	592	654
475	593	653
476	594	651
477	595	649
478	596	648
479	597	646
480	597	645
481	598	643
482	599	641
483	600	640
484	601	638
485	602	637
486	603	635
487	604	633
488	605	632
489	606	630
490	607	629
491	607	627
492	608	626
493	609	624
494	610	623
495	611	621
496	612	619
497	613	618
498	614	616
499	615	615
500	616	613
501	617	612
502	617	610
503	618	609
504	619	607
505	620	606
506	621	604
507	622	603
508	623	601
509	624	599
510	625	598
511	626	596
512	627	595
513	628	593
514	629	592
515	630	590
516	631	589
517	631	588
518	632	586
519	633	585
520	634	583
521	635	581
522	636	580
523	637	578
524	638	577
525	639	575
526	639	574
527	640	572
528	641	571
529	642	570
530	643	568
531	644	567
532	645	565
533	646	564
534	647	562
535	648	561
536	649	560
537	650	558
538	651	557
539	652	555
540	653	554
541	654	552
542	655	551
543	656	549
544	656	548
545	657	547
546	658	545
547	659	544
548	660	542
549	661	541
550	662	539
551	663	538
552	664	537
553	665	535
554	666	534
555	667	532
556	668	531
557	669	530
558	670	528
559	670	527
